Event Number,City,Event Name,Latitude,Longitude,Popularity,Start Date,Start Time,Venue
1,"New York, NY, US","Misun, Cheers Elephant, SZA, Bianca Raquel, and 1 more… at Drom (October 16, 2012)",40.7252014,-73.9841494,0.006355,2012-10-16,21:00:00,Drom
2,"Manhattan, NY, US","Raw with Iman Omari, Rachel Brown, SZA, and 1 more… at S.O.B.'s (January 9, 2013)",40.7284492,-74.0051241,0.086669,2013-01-09,21:00:00,S.O.B.'s
3,"Brooklyn, NY, US","Chad Valley with Rush Midnight, SZA, and Letting Up Despite Great Faults at Glasslands Gallery (April 12, 2013)",40.715135,-73.9664821,0.104766,2013-04-12,20:30:00,Glasslands Gallery
4,"New York, NY, US","SZA with Child Actor, Ydimitu, and Young Magic at Pianos (April 13, 2013)",40.7211268,-73.9878164,0.00728,2013-04-13,20:00:00,Pianos
5,"Washington, DC, US",Broccoli City Festival 2013,38.8746482,-77.0074739,0.085316,2013-04-21,None,Fairgrounds
6,"Las Vegas, NV, US","Phoenix with SZA at Boulevard Pool, The Cosmopolitan of Las Vegas (October 8, 2013)",36.109622,-115.1732124,0.293133,2013-10-08,21:00:00,"Boulevard Pool, The Cosmopolitan of Las Vegas"
7,"Los Angeles, CA, US","Little Dragon with SZA at El Rey Theatre (October 17, 2013)",34.062397,-118.3487992,0.114401,2013-10-17,20:00:00,El Rey Theatre
8,"New York, NY, US","Travis Scott, SZA, and Calvin Love with Saul Williams and 6 more… at Eventi Hotel (October 19, 2013)",40.7472165,-73.9898959,0.029191,2013-10-19,13:00:00,Eventi Hotel
9,"New York, NY, US","Little Dragon with SZA at The Bowery Ballroom (October 23, 2013)",40.7203623,-73.9935389,0.114401,2013-10-23,20:00:00,The Bowery Ballroom
10,"Brooklyn, NY, US","Little Dragon and SZA at Music Hall of Williamsburg (October 24, 2013)",40.7192832,-73.9617103,0.114401,2013-10-24,20:00:00,Music Hall of Williamsburg
11,"San Antonio, TX, US","The Psychedelic Furs, Phantogram, The Joy Formidable, Twin Shadow, and 6 more… at Villita Assembly Building (March 21, 2014)",29.4218758,-98.4893001,0.139154,2014-03-21,18:00:00,Villita Assembly Building
12,"San Antonio, TX, US","Phantogram, The Psychedelic Furs, Washed Out, Twin Shadow, and 10 more… at Villita Assembly Building (March 22, 2014)",29.4218758,-98.4893001,0.139154,2014-03-22,16:30:00,Villita Assembly Building
13,"New Orleans, LA, US","Common with MC Lyte, SZA, and DJ Jermaine at House of Blues (July 5, 2014)",29.9531604,-90.0661661,0.161109,2014-07-05,13:00:00,House of Blues
14,"Saugerties, NY, US",The Hudson Project 2014,42.08764,-73.98827,0.581923,2014-07-11,00:00:00,Winston Farm
15,"Brooklyn, NY, US","SZA with Cakes Da Killa, Denitia & Sene, Princess Nokia, and 1 more… at Rough Trade NYC (July 15, 2014)",40.7209863,-73.9598502,0.037003,2014-07-15,20:00:00,Rough Trade NYC
16,"Chicago, IL, US",Pitchfork Music Festival 2014,41.8851191,-87.6660887,0.553525,2014-07-18,15:00:00,Union Park
17,"Washington, DC, US",Trillectro Music Festival 2014,38.889563,-76.97279,0.385214,2014-08-23,None,RFK Stadium
18,"Brooklyn, NY, US",AFROPUNK Festival 2014,40.6984282,-73.9830896,0.069593,2014-08-23,None,Commodore Barry Park
19,"Los Angeles, CA, US",Made in America Festival 2014,34.0547,-118.24282,0.739801,2014-08-30,12:00:00,Grand Park
20,"Minneapolis, MN, US","P.O.S, SZA, Poliça (DJ Set), Le1f, and 5 more… at Fine Line Music Cafe (September 13, 2014)",44.98139,-93.27249,0.122995,2014-09-13,04:00:00,Fine Line Music Cafe
21,"Portland, OR, US","Shaprece and SZA with Magic Fades at Holocene (October 7, 2014)",45.5175739,-122.6553277,0.031564,2014-10-07,20:00:00,Holocene
22,"Lawrence, KS, US","SZA at Liberty Hall (November 6, 2014)",38.9714784,-95.2356564,0.013403,2014-11-06,21:00:00,Liberty Hall
23,"Austin, TX, US",FUN FUN FUN FEST 2014,30.26035,-97.74962,0.557685,2014-11-07,13:00:00,Auditorium Shores
24,"Silver Spring, MD, US","Jhené Aiko with SZA and The Internet at The Fillmore Silver Spring (December 2, 2014)",38.997482,-77.027928,0.105426,2014-12-02,19:00:00,The Fillmore Silver Spring
25,"New York, NY, US","Jhené Aiko with SZA and The Internet at PlayStation Theater (December 3, 2014)",40.7576068,-73.9861364,0.062922,2014-12-03,None,PlayStation Theater
26,"Baltimore, MD, US","Jhené Aiko with SZA and The Internet at Baltimore Soundstage (December 4, 2014)",39.2876066,-76.6068397,0.057472,2014-12-04,19:00:00,Baltimore Soundstage
