Event Number,City,Event Name,Latitude,Longitude,Popularity,Start Date,Start Time,Venue
1,"Santa Monica, CA, US","Malakai with Bruno Mars at Dakota (April 25, 2009)",34.02415,-118.49189,0.751697,2009-04-25,00:00:00,Dakota
2,"Santa Monica, CA, US","Alyssa Jacey with Bruno Mars and Kevin Sandbloom at Dakota (June 30, 2009)",34.02415,-118.49189,0.751697,2009-06-30,None,Dakota
3,"Santa Monica, CA, US","Bruno Mars and Oliver Future with Radars to the Sky, George Glass, and 1 more… at Dakota (January 16, 2010)",34.02415,-118.49189,0.751697,2010-01-16,00:00:00,Dakota
4,"West Hollywood, CA, US","Six Gallery and Janelle Monáe with Bruno Mars and Malina Moye at The Viper Room (March 23, 2010)",34.09046,-118.38468,0.751879,2010-03-23,20:00:00,The Viper Room
5,"Atlantic City, NJ, US","Bruno Mars at Hilton Atlantic City (May 29, 2010)",39.35115,-74.45038,0.751697,2010-05-29,19:30:00,Hilton Atlantic City
6,"Manhattan, NY, US","Mateo and Eric Roberson with Bruno Mars and Ram at S.O.B.'s (June 16, 2010)",40.72845,-74.00512,0.751697,2010-06-16,21:00:00,S.O.B.'s
7,"Anaheim, CA, US","Powerhouse, Drake, Ne-Yo, Snoop Dogg, and 6 more… at Honda Center (June 19, 2010)",33.80772,-117.87652,0.837263,2010-06-19,19:00:00,Honda Center
8,"Hanford, CA, US","Travie McCoy with Bruno Mars at Kings Fair (July 9, 2010)",36.31813,-119.63693,0.751697,2010-07-09,17:30:00,Kings Fair
9,"West Hollywood, CA, US","K'naan with Bruno Mars at House of Blues Sunset Strip (August 4, 2010)",34.09488,-118.37367,0.751697,2010-08-04,20:00:00,House of Blues Sunset Strip
10,"Anaheim, CA, US","K'naan with Ca$ino and Bruno Mars at House of Blues - Old Location (August 4, 2010)",33.80954,-117.92298,0.751697,2010-08-04,20:00:00,House of Blues - Old Location
11,"New York, NY, US","Bruno Mars at The Bowery Ballroom (August 25, 2010)",40.72036,-73.99354,0.751697,2010-08-25,19:00:00,The Bowery Ballroom
12,"Springfield, MA, US","Boys Like Girls with Auburn, David Archuleta, Flo Rida, and 1 more… at Six Flags New England (August 27, 2010)",42.0383,-72.61632,0.751697,2010-08-27,None,Six Flags New England
13,"Las Vegas, NV, US","Bruno Mars at Wasted Space (September 18, 2010)",36.10899,-115.15395,0.751697,2010-09-18,None,Wasted Space
14,"Chicago, IL, US","Bruno Mars with Fat Joe at House of Blues (September 22, 2010)",41.8882,-87.6292,0.751697,2010-09-22,18:00:00,House of Blues
15,"Fresno, CA, US","OneRepublic and Maroon 5 with Bruno Mars at Save Mart Center (October 14, 2010)",36.80865,-119.73945,0.827663,2010-10-14,19:30:00,Save Mart Center
16,"San Francisco, CA, US","Bruno Mars with Donnis at Slim's (November 16, 2010)",37.77152,-122.41326,0.751697,2010-11-16,19:00:00,Slim's
17,"La Jolla, CA, US","Bruno Mars at Price Center, UC San Diego (November 19, 2010)",32.88579,-117.24316,0.751697,2010-11-19,20:00:00,"Price Center, UC San Diego"
18,"Scottsdale, AZ, US","Bruno Mars at Martini Ranch (November 20, 2010)",33.49944,-111.92424,0.751697,2010-11-20,20:00:00,Martini Ranch
19,"Dallas, TX, US","Bruno Mars with Donnis at South Side Music Hall (November 23, 2010)",32.76878,-96.79799,0.751697,2010-11-23,20:00:00,South Side Music Hall
20,"Houston, TX, US","Bruno Mars at The Ballroom at Warehouse Live (November 24, 2010)",29.75212,-95.35467,0.751697,2010-11-24,20:00:00,The Ballroom at Warehouse Live
21,"Houston, TX, US","Bruno Mars with Donnis at Warehouse Live (November 24, 2010)",29.75212,-95.35467,0.751697,2010-11-24,None,Warehouse Live
22,"Sauget, IL, US","Bruno Mars with Donnis at Pop's Concert Venue (November 26, 2010)",38.60079,-90.1758,0.751697,2010-11-26,19:00:00,Pop's Concert Venue
