Event Number,City,Event Name,Latitude,Longitude,Popularity,Start Date,Start Time,Venue
1,"Lake Buena Vista, FL, US","Kanye West with John Legend at House of Blues (February 28, 2004)",28.3709021,-81.521728,0.715064,2004-02-28,None,House of Blues
2,"West Hollywood, CA, US","Kanye West at House of Blues Sunset Strip (April 6, 2004)",34.0948759,-118.3736656,0.656803,2004-04-06,None,House of Blues Sunset Strip
3,"Cincinnati, OH, US","Usher with Kanye West at US Bank Arena (August 17, 2004)",39.097929,-84.504088,0.656803,2004-08-17,None,US Bank Arena
4,"Memphis, TN, US","Usher with Kanye West and Christina Milian at FedEx Forum (September 17, 2004)",35.1395093,-90.0517042,0.656803,2004-09-17,None,FedEx Forum
5,"George, WA, US",Sasquatch! Music Festival 2005,47.0959471,-119.9826336,0.72753,2005-05-28,None,Gorge Amphitheatre
6,"Philadelphia, PA, US",Live 8 2005,39.9525839,-75.1652215,0.818076,2005-07-02,None,Unknown venue
7,"Philadelphia, PA, US",Live 8 Philadelphia 2005,39.9525839,-75.1652215,0.823665,2005-07-02,None,Unknown venue
8,"Philadelphia, PA, US","Sharks With Wings with Kanye West and Heart2heart at Unknown venue (August 5, 2005)",39.9525839,-75.1652215,0.73657,2005-08-05,None,Unknown venue
9,"Kingston, RI, US","Kanye West at Ryan Center, University of Rhode Island (October 26, 2005)",41.4877684,-71.5357485,0.656803,2005-10-26,None,"Ryan Center, University of Rhode Island"
10,"Amherst, MA, US","Kanye West with Common, Fantasía, and Keyshia Cole at Mullins Center, U Mass (October 31, 2005)",42.3911245,-72.5331953,0.656803,2005-10-31,None,"Mullins Center, U Mass"
11,"Murfreesboro, TN, US","Kanye West with Keyshia Cole at Murphy Center, MTSU (November 17, 2005)",35.8434555,-86.3706605,0.721479,2005-11-17,None,"Murphy Center, MTSU"
12,"Omaha, NE, US","U2 with Kanye West at CenturyLink Center & Arena (December 15, 2005)",41.2637186,-95.9292658,0.977738,2005-12-15,None,CenturyLink Center & Arena
13,"Portland, OR, US","U2 with Kanye West at Rose Garden Arena (December 19, 2005)",45.531608,-122.667285,0.906821,2005-12-19,None,Rose Garden Arena
14,"Portland, OR, US","Kanye West at Unknown venue (December 19, 2005)",45.5230622,-122.6764816,0.73657,2005-12-19,None,Unknown venue
15,"Indio, CA, US",Coachella 2006,33.72058,-116.21556,0.742714,2006-04-29,None,Unknown venue
16,"Columbia, MD, US",HFStival 2006,39.20877,-76.86278,0.742175,2006-05-27,None,Merriweather Post Pavilion
17,"Chicago, IL, US","John Legend with Kanye West and Common at House of Blues (July 20, 2006)",41.8882037,-87.6292039,0.733795,2006-07-20,None,House of Blues
18,"Chicago, IL, US",Lollapalooza 2006,41.87811,-87.6298,0.743827,2006-08-04,None,Unknown venue
19,"San Diego, CA, US",Street Scene 2006,32.71509,-117.1594,0.742714,2006-08-04,None,Unknown venue
20,"New York, NY, US","Kanye West and John Legend at PlayStation Theater (August 29, 2006)",40.7576068,-73.9861364,0.728784,2006-08-29,None,PlayStation Theater
21,"Seattle, WA, US",Bumbershoot 2006,47.60621,-122.33207,0.743827,2006-09-02,None,Unknown venue
22,"Las Vegas, NV, US",Fusion Festival 2007,36.1699412,-115.1398296,0.73223,2007-02-13,None,Unknown venue
23,"Camden, NJ, US","Kanye West with N.E.R.D. and Rihanna at BB&T Pavilion (May 17, 2007)",40.0177386,-75.0004321,0.904699,2007-05-17,None,BB&T Pavilion
24,"East Rutherford, NJ, US","The Police with Fall Out Boy, John Mayer, Roger Waters, and 14 more… at Giants Stadium (July 7, 2007)",40.8116428,-74.0677452,0.728826,2007-07-07,None,Giants Stadium
25,"Chicago, IL, US","Kanye West at House of Blues (August 24, 2007)",41.8882037,-87.6292039,0.733795,2007-08-24,17:30:00,House of Blues
26,"Hollywood, CA, US","Kanye West at Jimmy Kimmel Live! (September 13, 2007)",34.101158,-118.340149,0.695646,2007-09-13,None,Jimmy Kimmel Live!
27,"Nashville, TN, US","Kanye West at Memorial Gymnasium, Vanderbilt University (October 12, 2007)",36.1448738,-86.8067804,0.683988,2007-10-12,20:00:00,"Memorial Gymnasium, Vanderbilt University"
28,"Philadelphia, PA, US","Kanye West with Rihanna, Akon, Ne-Yo, and 3 more… at Wachovia Spectrum Center (October 19, 2007)",39.9045537,-75.1736495,0.897226,2007-10-19,17:00:00,Wachovia Spectrum Center
29,"Miami, FL, US","Kanye West with The Roots, Chromeo, and Kevens at Klipsch Amphitheater at Bayfront Park (November 10, 2007)",25.7774,-80.18787,0.742714,2007-11-10,11:11:11,Klipsch Amphitheater at Bayfront Park
30,"Minneapolis, MN, US","Avril Lavigne and Good Charlotte with Kanye West, Timbaland, and 3 more… at Target Center (December 7, 2007)",44.979657,-93.274889,0.683988,2007-12-07,19:00:00,Target Center
31,"Las Vegas, NV, US","Kanye West at Palms Casino Resort (December 31, 2007)",36.115378,-115.195341,0.683988,2007-12-31,21:30:00,Palms Casino Resort
32,"New York, NY, US","A-Trak with Kanye West, The Cool Kids, and Kid Sister at American Museum of Natural History (January 25, 2008)",40.7820639,-73.9757465,0.701576,2008-01-25,None,American Museum of Natural History
33,"Seattle, WA, US","Kanye West with N.E.R.D., E+, and R at KeyArena at Seattle Center (April 16, 2008)",47.6216358,-122.350699,0.732285,2008-04-16,19:00:00,KeyArena at Seattle Center
34,"Sacramento, CA, US","Kanye West with N.E.R.D., E+, and R at Sleep Train Arena (April 18, 2008)",38.648005,-121.517077,0.685302,2008-04-18,19:00:00,Sleep Train Arena
35,"San Jose, CA, US","Kanye West with Rihanna, N.E.R.D., and Lupe Fiasco at SAP Center at San Jose (April 19, 2008)",37.3325116,-121.9011855,0.906022,2008-04-19,19:00:00,SAP Center at San Jose
36,"San Diego, CA, US","Kanye West with N.E.R.D., E+, and R at Valley View Casino Center (April 20, 2008)",32.7550767,-117.2117942,0.685302,2008-04-20,19:00:00,Valley View Casino Center
37,"Los Angeles, CA, US","Kanye West with E+, R, Rihanna, and 2 more… at Microsoft Theater (April 21, 2008)",34.0442944,-118.2656014,0.893421,2008-04-21,19:30:00,Microsoft Theater
38,"Los Angeles, CA, US","Kanye West with N.E.R.D., E+, and R at Microsoft Theater (April 22, 2008)",34.0442944,-118.2656014,0.720047,2008-04-22,19:30:00,Microsoft Theater
39,"Tucson, AZ, US","Kanye West with Rihanna, Lupe Fiasco, and N.E.R.D. at University of Arizona (April 24, 2008)",32.2324638,-110.9517114,0.934769,2008-04-24,19:00:00,University of Arizona
40,"Las Vegas, NV, US","Kanye West with N.E.R.D. at Red Rock Casino Resort & Spa (April 25, 2008)",36.1551327,-115.334816,0.685302,2008-04-25,19:30:00,Red Rock Casino Resort & Spa
41,"Albuquerque, NM, US","Kanye West with N.E.R.D. and Lupe Fiasco at Hard Rock Pavilion (April 26, 2008)",34.9379864,-106.6623463,0.684506,2008-04-26,19:30:00,Hard Rock Pavilion
42,"Denver, CO, US","Kanye West with Rihanna, N.E.R.D., Lupe Fiasco, and 2 more… at Pepsi Center (April 27, 2008)",39.745565,-105.010476,0.904676,2008-04-27,19:30:00,Pepsi Center
43,"Oklahoma City, OK, US","Kanye West with N.E.R.D., E+, and R at Chesapeake Energy Arena (April 29, 2008)",35.463391,-97.514594,0.685302,2008-04-29,17:30:00,Chesapeake Energy Arena
44,"Austin, TX, US","Kanye West with E+, R, Rihanna, and 2 more… at Frank Erwin Center, University of Texas (April 30, 2008)",30.276391,-97.732422,0.90017,2008-04-30,17:30:00,"Frank Erwin Center, University of Texas"
45,"Dallas, TX, US","Kanye West with Rihanna, Lupe Fiasco, Pharrell Williams, and 3 more… at Gexa Energy Pavilion (May 1, 2008)",32.7740979,-96.7568521,0.90017,2008-05-01,19:00:00,Gexa Energy Pavilion
46,"The Woodlands, TX, US","Kanye West with Rihanna, Lupe Fiasco, Pharrell Williams, and 3 more… at Cynthia Woods Mitchell Pavilion (May 2, 2008)",30.161593,-95.464029,0.90017,2008-05-02,19:00:00,Cynthia Woods Mitchell Pavilion
