Event Number,City,Event Name,Latitude,Longitude,Popularity,Start Date,Start Time,Venue
1,"San Francisco, CA, US","Eminem with The Beatnuts and Pace Won at The Fillmore (May 9, 1999)",37.7842566,-122.4332961,0.857088,1999-05-09,None,The Fillmore
2,"San Bernardino, CA, US",Vans Warped Tour 1999,34.06854,-117.22287,0.893196,1999-07-01,None,Unknown venue
3,"St Louis, MO, US",Vans Warped Tour 1999,38.624,-90.18462,0.891949,1999-07-13,None,Unknown venue
4,"Cleveland, OH, US",Vans Warped Tour 1999,41.49932,-81.69436,0.893196,1999-07-15,None,Unknown venue
5,"New York, NY, US",Vans Warped Tour 1999,40.71278,-74.00594,0.893196,1999-07-16,None,Unknown venue
6,"Buffalo, NY, US",Vans Warped Tour 1999,42.88645,-78.87837,0.893196,1999-07-22,None,Unknown venue
7,"Washington, DC, US",Vans Warped Tour 1999,39.72547,-105.00806,0.893196,1999-07-27,None,Unknown venue
8,"New York, NY, US","Eminem with The Beatnuts and Mix Master Mike at Manhattan Center Hammerstein Ballroom (April 15, 2000)",40.7528457,-73.9941767,0.86237,2000-04-15,None,Manhattan Center Hammerstein Ballroom
9,"Sacramento, CA, US","Dr. Dre, Eminem, Snoop Dogg, Ice Cube, and 4 more… at Sleep Train Arena (June 14, 2000)",38.648005,-121.517077,0.864618,2000-06-14,None,Sleep Train Arena
10,"Chula Vista, CA, US","Ice Cube, Eminem, Proof, Snoop Dogg, and 14 more… at Mattress Firm Amphitheatre (June 15, 2000)",32.5882959,-117.0060564,0.852203,2000-06-15,None,Mattress Firm Amphitheatre
11,"Anaheim, CA, US","Ice Cube, Eminem, Proof, Snoop Dogg, and 14 more… at Honda Center (June 16, 2000)",33.807723,-117.876522,0.864618,2000-06-16,None,Honda Center
12,"Anaheim, CA, US","Ice Cube, Eminem, Proof, Snoop Dogg, and 14 more… at Honda Center (June 18, 2000)",33.807723,-117.876522,0.864618,2000-06-18,None,Honda Center
13,"San Jose, CA, US","Ice Cube, Eminem, Proof, Snoop Dogg, and 14 more… at San Jose Arena (June 19, 2000)",37.3325116,-121.9011855,0.864618,2000-06-19,None,San Jose Arena
14,"Portland, OR, US","Ice Cube, Truth Hurts, Tq, Warren G, and 14 more… at Rose Garden Arena (June 24, 2000)",45.531608,-122.667285,0.864618,2000-06-24,None,Rose Garden Arena
15,"Nampa, ID, US","Ice Cube, Eminem, Proof, Snoop Dogg, and 14 more… at Ford Idaho Center (June 26, 2000)",43.608344,-116.509458,0.863203,2000-06-26,None,Ford Idaho Center
16,"Indianapolis, IN, US","Ice Cube, Eminem, Proof, Snoop Dogg, and 14 more… at Bankers Life Fieldhouse (June 30, 2000)",39.7640468,-86.1554765,0.864618,2000-06-30,None,Bankers Life Fieldhouse
17,"Columbus, OH, US","Ice Cube, Eminem, Proof, Snoop Dogg, and 14 more… at Value City Arena, Schottenstein Center (July 1, 2000)",40.0080079,-83.0249081,0.864618,2000-07-01,None,"Value City Arena, Schottenstein Center"
18,"Cleveland, OH, US","Ice Cube, Eminem, Proof, Snoop Dogg, and 14 more… at Quicken Loans Arena (July 2, 2000)",41.4967035,-81.6894825,0.864618,2000-07-02,None,Quicken Loans Arena
19,"Pittsburgh, PA, US","Ice Cube, Eminem, Proof, Snoop Dogg, and 14 more… at Mellon Arena (July 3, 2000)",40.441093,-79.988708,0.864618,2000-07-03,None,Mellon Arena
20,"Detroit, MI, US","Ice Cube, Eminem, Proof, Snoop Dogg, and 14 more… at Joe Louis Arena (July 6, 2000)",42.3251899,-83.051362,0.864618,2000-07-06,None,Joe Louis Arena
21,"Auburn Hills, MI, US","Ice Cube, Eminem, Proof, Snoop Dogg, and 14 more… at The Palace of Auburn Hills (July 7, 2000)",42.696511,-83.2437214,0.864618,2000-07-07,None,The Palace of Auburn Hills
22,"Rosemont, IL, US","Ice Cube, Eminem, Proof, Snoop Dogg, and 14 more… at Allstate Arena (July 8, 2000)",42.0047854,-87.8878325,0.864618,2000-07-08,None,Allstate Arena
23,"Milwaukee, WI, US","Ice Cube, Eminem, Proof, Snoop Dogg, and 14 more… at BMO Harris Bradley Center (July 9, 2000)",43.043728,-87.917166,0.864618,2000-07-09,None,BMO Harris Bradley Center
24,"Minneapolis, MN, US","Ice Cube, Eminem, Proof, Snoop Dogg, and 14 more… at Target Center (July 10, 2000)",44.979657,-93.274889,0.864618,2000-07-10,None,Target Center
25,"Rochester, NY, US","Dr. Dre, Snoop Dogg, and Eminem with Warren G and 14 more… at Blue Cross Arena (July 13, 2000)",43.1536411,-77.6116139,0.864618,2000-07-13,None,Blue Cross Arena
