Event Number,City,Event Name,Latitude,Longitude,Popularity,Start Date,Start Time,Venue
1,"Philadelphia, PA, US","Radiohead at Theater of the Living Arts (June 23, 1993)",39.941305,-75.148678,0.716702,1993-06-23,None,Theater of the Living Arts
2,"New York, NY, US","Radiohead at CBGB & OMFUG (June 24, 1993)",40.7251397,-73.9918808,0.62515,1993-06-24,None,CBGB & OMFUG
3,"New York, NY, US","Radiohead at The Academy (June 26, 1993)",40.7574106,-73.9881835,0.716702,1993-06-26,None,The Academy
4,"Chicago, IL, US","Radiohead at Metro (June 30, 1993)",41.9499156,-87.6588194,0.716702,1993-06-30,None,Metro
5,"Detroit, MI, US","Radiohead at St. Andrew's Hall (July 1, 1993)",42.3322098,-83.0414354,0.716702,1993-07-01,None,St. Andrew's Hall
6,"Salt Lake City, UT, US","Radiohead at Dv8 (July 5, 1993)",40.766848,-111.893611,0.599313,1993-07-05,None,Dv8
7,"Seattle, WA, US","Radiohead at RKCNDY (July 7, 1993)",47.6176294,-122.3298753,0.716702,1993-07-07,None,RKCNDY
8,"Portland, OR, US","Radiohead at La Luna (July 8, 1993)",45.520936,-122.656976,0.716702,1993-07-08,None,La Luna
9,"San Francisco, CA, US","Radiohead with Trashcan Sinatras and The Mighty Mighty Bosstones at Justin Herman Plaza (July 11, 1993)",37.793992,-122.3948962,0.615851,1993-07-11,None,Justin Herman Plaza
10,"San Francisco, CA, US","Radiohead at Slim's (July 11, 1993)",37.7715171,-122.413259,0.716702,1993-07-11,None,Slim's
11,"West Hollywood, CA, US","Radiohead at Whisky A Go Go (July 12, 1993)",34.0908029,-118.3857196,0.716702,1993-07-12,None,Whisky A Go Go
12,"Hollywood, CA, US","PJ Harvey with Radiohead and Moonshake at Hollywood Palladium (July 13, 1993)",34.09815,-118.324535,0.620029,1993-07-13,None,Hollywood Palladium
13,"San Diego, CA, US","Radiohead with Blacksmith Union at World Beat Center (July 16, 1993)",32.7269444,-117.1495584,0.716702,1993-07-16,None,World Beat Center
14,"Boulder, CO, US","Radiohead at Fox Theatre (July 19, 1993)",40.0079953,-105.2762858,0.716702,1993-07-19,None,Fox Theatre
15,"Atlanta, GA, US","Radiohead with Edge at Variety Playhouse (July 24, 1993)",33.7636046,-84.3509632,0.599348,1993-07-24,None,Variety Playhouse
16,"Houston, TX, US","Radiohead and The Cranberries with Belly at Rockefellers (September 17, 1993)",29.7697398,-95.3967916,0.589443,1993-09-17,None,Rockefellers
17,"Dallas, TX, US","Radiohead and Belly at The Bomb Factory (September 18, 1993)",32.782367,-96.783697,0.589443,1993-09-18,None,The Bomb Factory
18,"Jacksonville, FL, US","Radiohead and Belly at Florida Theatre - Jacksonville (September 21, 1993)",30.3264541,-81.6555439,0.589443,1993-09-21,None,Florida Theatre - Jacksonville
19,"St Petersburg, FL, US","Radiohead and Belly at Jannus Live (September 22, 1993)",27.771666,-82.636035,0.589443,1993-09-22,None,Jannus Live
20,"Miami, FL, US","Radiohead and Belly at Cameo Theater (September 23, 1993)",25.7871223,-80.1316896,0.589443,1993-09-23,None,Cameo Theater
21,"Atlanta, GA, US","Radiohead and Belly at The Masquerade (September 25, 1993)",33.7510307,-84.3902825,0.589443,1993-09-25,None,The Masquerade
22,"Athens, GA, US","Radiohead and Belly at 40 Watt Club (September 27, 1993)",33.958132,-83.380008,0.589443,1993-09-27,None,40 Watt Club
23,"College Park, MD, US","Belly and Radiohead with The Bats at Ritchie Coliseum (October 1, 1993)",38.9869183,-76.9425543,0.589443,1993-10-01,None,Ritchie Coliseum
24,"Hollywood, CA, US","Radiohead, The Cranberries, and Suede with Belly at Hollywood Palace (October 2, 1993)",34.10272,-118.327153,0.589443,1993-10-02,None,Hollywood Palace
25,"New Brunswick, NJ, US","Radiohead and Belly at Rutgers University (October 3, 1993)",40.504311,-74.4491189,0.589443,1993-10-03,None,Rutgers University
26,"Dallas, TX, US","Radiohead, The Cranberries, and Suede with Belly at Deep Ellum Live (October 6, 1993)",32.7821871,-96.7833494,0.589443,1993-10-06,None,Deep Ellum Live
27,"Boston, MA, US","Radiohead and Belly at House of Blues (October 8, 1993)",42.3471727,-71.0957007,0.589443,1993-10-08,None,House of Blues
28,"New York, NY, US","Radiohead and Belly at Roseland Ballroom (October 9, 1993)",40.7631247,-73.9842025,0.589443,1993-10-09,None,Roseland Ballroom
29,"Philadelphia, PA, US","Radiohead and Belly at Trocadero Theatre (October 10, 1993)",39.953617,-75.156856,0.589443,1993-10-10,None,Trocadero Theatre
30,"Pittsburgh, PA, US","Radiohead and Belly at Metropol (October 11, 1993)",40.4498574,-79.9869969,0.589443,1993-10-11,None,Metropol
31,"Detroit, MI, US","Radiohead and Belly at The Fillmore Detroit (October 13, 1993)",42.3377981,-83.0515231,0.589443,1993-10-13,None,The Fillmore Detroit
32,"Milwaukee, WI, US","Radiohead and Belly at The Rave/Eagles Club (October 14, 1993)",43.0381725,-87.9432826,0.589443,1993-10-14,None,The Rave/Eagles Club
33,"Chicago, IL, US","Radiohead and Belly at Riviera Theatre (October 15, 1993)",41.9685617,-87.6596996,0.589443,1993-10-15,None,Riviera Theatre
34,"Dekalb, IL, US","Radiohead and Belly at Duke Ellington Ballroom, Northern Illinois University (October 16, 1993)",41.9358311,-88.7663842,0.589443,1993-10-16,None,"Duke Ellington Ballroom, Northern Illinois University"
35,"Boulder, CO, US","Radiohead and Belly at Glenn Miller Ballroom, University Memorial Center (October 19, 1993)",40.0070431,-105.2720438,0.589443,1993-10-19,None,"Glenn Miller Ballroom, University Memorial Center"
36,"Phoenix, AZ, US","Radiohead and Belly at The Grind (October 21, 1993)",33.5094053,-112.0301204,0.589443,1993-10-21,None,The Grind
37,"Hollywood, CA, US","Radiohead and Belly at Hollywood Palace (October 22, 1993)",34.10272,-118.327153,0.589443,1993-10-22,None,Hollywood Palace
38,"San Francisco, CA, US","Radiohead and Belly with Fifth Business at The Warfield (October 24, 1993)",37.7826598,-122.4101811,0.589443,1993-10-24,None,The Warfield
39,"Las Vegas, NV, US","Radiohead at Aladdin Theatre (October 28, 1993)",36.128561,-115.1711298,0.6493,1993-10-28,None,Aladdin Theatre
40,"New York, NY, US","Radiohead at Mercury Lounge (November 2, 1994)",40.7221646,-73.9867142,0.716702,1994-11-02,None,Mercury Lounge
41,"West Hollywood, CA, US","Radiohead at Luna Park West Hollywood (November 4, 1994)",34.0826707,-118.3859128,0.620029,1994-11-04,None,Luna Park West Hollywood
42,"Boston, MA, US","Radiohead at Unknown venue (December 6, 1994)",42.3600825,-71.0588801,0.602473,1994-12-06,None,Unknown venue
43,"Berkeley, CA, US",Live 105 Green Christmas (Acoustic) 1994,37.8688166,-122.271559,0.647312,1994-12-09,None,Berkeley Community Theatre
44,"New York, NY, US","Radiohead at Beacon Theatre (December 13, 1994)",40.7760381,-73.9820377,0.716702,1994-12-13,None,Beacon Theatre
45,"Seattle, WA, US","Radiohead at Exhibition Hall (December 17, 1994)",47.6243927,-122.3495817,0.686187,1994-12-17,None,Exhibition Hall
